state,crop,profit,,
Nagaland,Gram,2913.27,,
Nagaland,Tur,3230,,
Nagaland,Groundnut,5288,,
Nagaland,Mustard,5422,,
Nagaland,Soyabean,4306.68,,
Nagaland,Sunflower,1,,
Nagaland,Cotton,1,,
Nagaland,Jute,1,,
Nagaland,Mesta,-1,,
Nagaland,Sugarcane,512558,,
Orissa,Rice,12210.062,,
Orissa,Jowar,2961.860565,,
Orissa,Bajra,1509.80804,,
Orissa,Maize,677.4186387,,
Orissa,Ragi,1,,
Orissa,Wheat,1,,
Orissa,Barley,-1,,
Orissa,Gram,1,,
Orissa,Tur,1,,
Orissa,Groundnut,1106.17387,,
Orissa,Mustard,1,,
Orissa,Soyabean,1,,
Orissa,Sunflower,1,,
Orissa,Cotton,1,,
Orissa,Jute,1,,
Orissa,Mesta,1,,
Orissa,Sugarcane,696259.009,,
Punjab,Rice,50910,,
Punjab,Jowar,-1,,
Punjab,Bajra,8728,,
Punjab,Maize,24530,,
Punjab,Ragi,-1,,
Punjab,Wheat,34458.75,,
Punjab,Barley,22082.7,,
Punjab,Gram,346.92,,
Punjab,Tur,910,,
Punjab,Groundnut,1,,
Punjab,Mustard,10945,,
Punjab,Soyabean,-1,,
Punjab,Sunflower,3030,,
Punjab,Cotton,624.05,,
Punjab,Jute,-1,,
Punjab,Mesta,-1,,
Punjab,Sugarcane,698810,,
Rajasthan,Rice,4630,,
Rajasthan,Jowar,1,,
Rajasthan,Bajra,2965,,
Rajasthan,Maize,3710,,
Rajasthan,Ragi,-1,,
Rajasthan,Wheat,25231.7825,,
Rajasthan,Barley,11308.9,,
Rajasthan,Gram,1,,
Rajasthan,Tur,1,,
Rajasthan,Groundnut,4608,,
Rajasthan,Mustard,24263.2525,,
Rajasthan,Soyabean,753.48,,
Rajasthan,Sunflower,1,,
Rajasthan,Cotton,1,,
Rajasthan,Jute,-1,,
Rajasthan,Mesta,-1,,
Rajasthan,Sugarcane,590630,,
Sikkim,Rice,6050,,
Sikkim,Jowar,-1,,
Sikkim,Bajra,-1,,
Sikkim,Maize,6470,,
Sikkim,Ragi,1635,,
Sikkim,Wheat,1,,
Sikkim,Barley,524.8,,
Sikkim,Gram,-1,,
Sikkim,Tur,-1,,
Sikkim,Groundnut,-1,,
Sikkim,Mustard,2356,,
Sikkim,Soyabean,1,,
Sikkim,Sunflower,-1,,
Sikkim,Cotton,-1,,
Sikkim,Jute,-1,,
Sikkim,Mesta,-1,,
Sikkim,Sugarcane,-1,,
Tamil Nadu,Rice,34984.98515,,
Tamil Nadu,Jowar,6705.084554,,
Tamil Nadu,Bajra,12691.0505,,
Tamil Nadu,Maize,11398.49729,,
Tamil Nadu,Ragi,11910.22064,,
Tamil Nadu,Wheat,-1,,
Tamil Nadu,Barley,-1,,
